"Estacion","Fecha inicial","Fecha final","O3"
"BASE AÉREA","2019-12-18 07:00","2019-12-18 07:59","10.12"
"BASE AÉREA","2019-12-18 06:00","2019-12-18 06:59","9.57"
"BASE AÉREA","2019-12-18 05:00","2019-12-18 05:59","8.57"
"BASE AÉREA","2019-12-18 04:00","2019-12-18 04:59","10.14"
"BASE AÉREA","2019-12-18 03:00","2019-12-18 03:59","9.44"
"BASE AÉREA","2019-12-18 02:00","2019-12-18 02:59","6.49"
"BASE AÉREA","2019-12-18 01:00","2019-12-18 01:59","12.38"
"BASE AÉREA","2019-12-18 00:00","2019-12-18 00:59","5.26"
"BASE AÉREA","2019-12-17 23:00","2019-12-17 23:59","13.97"
"BASE AÉREA","2019-12-17 22:00","2019-12-17 22:59","9.95"
"BASE AÉREA","2019-12-17 21:00","2019-12-17 21:59","8.75"
"BASE AÉREA","2019-12-17 20:00","2019-12-17 20:59","8.85"
"BASE AÉREA","2019-12-17 19:00","2019-12-17 19:59","10.16"
"BASE AÉREA","2019-12-17 18:00","2019-12-17 18:59","9.59"
"BASE AÉREA","2019-12-17 17:00","2019-12-17 17:59","10.1"
"BASE AÉREA","2019-12-17 16:00","2019-12-17 16:59","9.65"
"BASE AÉREA","2019-12-17 15:00","2019-12-17 15:59","10.65"
"BASE AÉREA","2019-12-17 14:00","2019-12-17 14:59","12.4"
"BASE AÉREA","2019-12-17 13:00","2019-12-17 13:59","19.87"
"BASE AÉREA","2019-12-17 09:00","2019-12-17 09:59","11.87"
"BASE AÉREA","2019-12-17 08:00","2019-12-17 08:59","9.97"
"BASE AÉREA","2019-12-17 07:00","2019-12-17 07:59","9.2"
"BASE AÉREA","2019-12-17 06:00","2019-12-17 06:59","8.57"
"BASE AÉREA","2019-12-17 05:00","2019-12-17 05:59","10.1"
"BASE AÉREA","2019-12-17 04:00","2019-12-17 04:59","8.75"
"BASE AÉREA","2019-12-17 03:00","2019-12-17 03:59","10.22"
"BASE AÉREA","2019-12-17 02:00","2019-12-17 02:59","7.69"
"BASE AÉREA","2019-12-17 01:00","2019-12-17 01:59","11.1"
"BASE AÉREA","2019-12-17 00:00","2019-12-17 00:59","9.77"
"BASE AÉREA","2019-12-16 23:00","2019-12-16 23:59","9.14"
"BASE AÉREA","2019-12-16 22:00","2019-12-16 22:59","9.28"
