date,NO2,SO2,O3,PM25,PM10
2020-01-01,10.355002003365573,19.17316510282278,48.689563804801175,16.743333333333332,45.937658674188995
2020-02-01,12.58758062206593,18.1670650670605,49.191105495500516,18.730462519936204,42.16611694152923
2020-03-01,16.393987877477777,11.288601182462843,48.965826564151705,17.616915422885572,43.46921985815603
2020-04-01,13.799368995446411,,49.509065435700066,17.98876404494382,44.19935275080906
2020-05-01,20.80345881091148,,45.84642026661226,18.164835164835164,
2020-06-01,20.255218550511852,,52.717360509945415,18.142011834319526,47.895953757225435
2020-07-01,16.99561613196049,5.9973399458634855,52.54235108295047,18.881889763779526,49.495177304964535
2020-08-01,18.367718701845213,10.385266314561038,60.680511168731265,21.109561752988046,46.75676998368679
2020-09-01,19.398079682510986,7.789271265550353,65.87919277225382,21.1113074204947,51.015742128935536
2020-10-01,20.45462915999518,7.183407691694244,61.47978951074172,14.181494661921707,43.49230769230769
2020-11-01,19.351347607861985,6.664010115751472,,11.859922178988327,49.737853949329356
2020-12-01,21.70411265373881,7.428292234552602,48.263031691552804,17.869218500797448,55.565439093484414
2021-01-01,14.589046754711006,9.83025398725507,27.80236172125303,16.636363636363637,41.71304347826087
2021-02-01,15.046119193706351,4.870296107141957,27.319967747903693,19.466346153846153,45.5225
2021-03-01,,4.340917302335284,23.52629139943222,16.93626707132018,44.399491094147585
2021-04-01,0.0,4.828992173714379,24.17457528744211,16.590243902439024,43.373797678275295
2021-05-01,,9.043134001626628,22.01766424396463,15.372815533980582,44.78119658119658
2021-06-01,,5.632508724959896,34.430770291243164,15.567796610169491,48.6741935483871
2021-07-01,,5.916528277590956,40.48423669794773,15.057275541795665,45.27900709219858
2021-08-01,,8.162791437062614,44.94673543644919,17.357798165137616,49.902136752136755
2021-09-01,12.892050789755576,5.717512634160636,45.204977039438866,10.702222222222222,62.98325991189427
2021-10-01,13.30822594900256,5.763584154446612,38.82671858359376,7.748582230623819,66.84855072463768
2021-11-01,9.981418519642515,5.912678261271079,31.565901341531646,6.884892086330935,60.914981949458486
2021-12-01,10.997367084509547,6.38720223143921,32.60447616396285,7.4825174825174825,54.88414023372287
2022-01-01,9.784513273879494,3.4000791718177106,32.84698601922553,12.179144385026738,48.005790960451975
2022-02-01,13.223107892333061,3.1833692897615444,36.40631824722627,18.883895131086142,54.393802345058624
2022-03-01,15.628333246024575,2.5893714350800874,32.68008406540611,21.52092352092352,50.78794117647059
2022-04-01,7.642150263176695,3.7004725326835506,38.85504642967612,22.907550077041602,52.87771260997067
2022-05-01,10.33834448516872,3.7246057505333634,30.956612359014574,17.59259259259259,49.58456090651558
2022-06-01,13.774530691061786,4.078164740514676,33.94133523401405,23.35959595959596,50.812099125364426
2022-07-01,13.440849978102735,6.719902301127877,37.04201745449998,25.265553869499243,48.269620253164554
2022-08-01,12.542661135539316,3.8446284096599617,39.27415505742823,31.386466165413534,46.373636363636365
2022-09-01,13.56537150433299,2.8142358031010164,39.73296971098462,26.601336302895323,46.30365853658537
2022-10-01,20.1164382950368,5.120563837542244,38.5631509517317,25.39389312977099,49.674366197183105
2022-11-01,15.682913916543592,3.3787159483518097,33.59110188405687,18.394736842105264,43.84811046511628
2022-12-01,10.45542130834663,3.2830532132288983,33.35552267355204,20.959798994974875,44.84681753889675
2023-01-01,12.223688015735876,3.9926962838779847,28.353679832295576,18.814814814814813,47.57159090909091
2023-02-01,10.507641163326529,3.47188268191522,29.65401698833366,19.925837320574164,40.59687987519501
2023-03-01,14.162030652658084,3.795032575137847,39.112160888408475,30.004437869822485,49.32329545454545
2023-04-01,16.106913340025795,4.321844696560065,30.3112695092166,30.037209302325582,46.85131578947368
2023-05-01,13.842822461584866,5.514766708692983,16.583376131679607,21.714285714285715,46.91402266288952
2023-06-01,10.118969390107567,4.376483971669619,17.69025077202794,25.410094637223974,46.77159590043924
2023-07-01,12.777374374703992,4.38962229939316,26.840904457758395,27.737864077669904,47.939014084507036
2023-08-01,13.423694909485462,4.518638209416078,33.40385187006209,27.43681747269891,51.64684431977559
2023-09-01,13.721659270124217,3.870146371051694,35.91783051787968,20.68918918918919,46.60248175182482
2023-10-01,10.48083588406044,2.791511983436753,24.45425894116531,23.076103500761036,41.389859154929574
2023-11-01,4.028242147281234,2.935566305103175,16.762262605869992,24.62882096069869,37.48561643835616
2023-12-01,10.701530384468828,3.397751034270689,26.37816519172863,25.094029850746267,56.084482758620695
