Estacion,datetime,hour,month,dayofweek,year,is_weekend,NO2,PM2.5,PM1.0
BASE AÉREA,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
CAÑAVERALEJO,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
LA ERMITA,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
LA FLORA,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
P_2. ERA OBRERO,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
TRANSITORIA-NAVARRO,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
UNIVERSIDAD DEL VALLE,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
BASE AÉREA,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
CAÑAVERALEJO,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
LA ERMITA,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
LA FLORA,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
P_2. ERA OBRERO,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
TRANSITORIA-NAVARRO,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
UNIVERSIDAD DEL VALLE,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
BASE AÉREA,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
CAÑAVERALEJO,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
LA ERMITA,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
LA FLORA,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
P_2. ERA OBRERO,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
TRANSITORIA-NAVARRO,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
UNIVERSIDAD DEL VALLE,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
BASE AÉREA,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
CAÑAVERALEJO,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
LA ERMITA,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
LA FLORA,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
P_2. ERA OBRERO,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
TRANSITORIA-NAVARRO,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
UNIVERSIDAD DEL VALLE,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
BASE AÉREA,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
CAÑAVERALEJO,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
LA ERMITA,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
LA FLORA,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
P_2. ERA OBRERO,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
TRANSITORIA-NAVARRO,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
UNIVERSIDAD DEL VALLE,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
BASE AÉREA,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
CAÑAVERALEJO,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
LA ERMITA,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
LA FLORA,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
P_2. ERA OBRERO,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
TRANSITORIA-NAVARRO,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
UNIVERSIDAD DEL VALLE,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
BASE AÉREA,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
CAÑAVERALEJO,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
LA ERMITA,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
LA FLORA,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
P_2. ERA OBRERO,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
TRANSITORIA-NAVARRO,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
UNIVERSIDAD DEL VALLE,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
BASE AÉREA,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
CAÑAVERALEJO,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
LA ERMITA,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
LA FLORA,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
P_2. ERA OBRERO,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
TRANSITORIA-NAVARRO,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
UNIVERSIDAD DEL VALLE,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
BASE AÉREA,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
CAÑAVERALEJO,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
LA ERMITA,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
LA FLORA,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
P_2. ERA OBRERO,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
TRANSITORIA-NAVARRO,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
UNIVERSIDAD DEL VALLE,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
BASE AÉREA,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
CAÑAVERALEJO,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
LA ERMITA,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
LA FLORA,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
P_2. ERA OBRERO,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
TRANSITORIA-NAVARRO,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
UNIVERSIDAD DEL VALLE,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
BASE AÉREA,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
CAÑAVERALEJO,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
LA ERMITA,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
LA FLORA,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
P_2. ERA OBRERO,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
TRANSITORIA-NAVARRO,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
UNIVERSIDAD DEL VALLE,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
BASE AÉREA,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
CAÑAVERALEJO,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
LA ERMITA,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
LA FLORA,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
P_2. ERA OBRERO,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
TRANSITORIA-NAVARRO,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
UNIVERSIDAD DEL VALLE,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
BASE AÉREA,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
CAÑAVERALEJO,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
LA ERMITA,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
LA FLORA,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
P_2. ERA OBRERO,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
TRANSITORIA-NAVARRO,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
UNIVERSIDAD DEL VALLE,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
BASE AÉREA,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
CAÑAVERALEJO,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
LA ERMITA,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
LA FLORA,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
P_2. ERA OBRERO,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
TRANSITORIA-NAVARRO,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
UNIVERSIDAD DEL VALLE,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
BASE AÉREA,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
CAÑAVERALEJO,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
LA ERMITA,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
LA FLORA,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
P_2. ERA OBRERO,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
TRANSITORIA-NAVARRO,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
UNIVERSIDAD DEL VALLE,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
BASE AÉREA,2020-01-01 15:00:00,15,1,2,2020,0,7.31,9.71,6.31
CAÑAVERALEJO,2020-01-01 15:00:00,15,1,2,2020,0,7.31,9.71,6.31
LA ERMITA,2020-01-01 15:00:00,15,1,2,2020,0,7.31,9.71,6.31
LA FLORA,2020-01-01 15:00:00,15,1,2,2020,0,7.31,9.71,6.31
P_2. ERA OBRERO,2020-01-01 15:00:00,15,1,2,2020,0,7.31,9.71,6.31
TRANSITORIA-NAVARRO,2020-01-01 15:00:00,15,1,2,2020,0,7.31,9.71,6.31
UNIVERSIDAD DEL VALLE,2020-01-01 15:00:00,15,1,2,2020,0,7.31,9.71,6.31
BASE AÉREA,2020-01-01 16:00:00,16,1,2,2020,0,11.8,9.61,6.25
CAÑAVERALEJO,2020-01-01 16:00:00,16,1,2,2020,0,11.8,9.61,6.25
LA ERMITA,2020-01-01 16:00:00,16,1,2,2020,0,11.8,9.61,6.25
LA FLORA,2020-01-01 16:00:00,16,1,2,2020,0,11.8,9.61,6.25
P_2. ERA OBRERO,2020-01-01 16:00:00,16,1,2,2020,0,11.8,9.61,6.25
TRANSITORIA-NAVARRO,2020-01-01 16:00:00,16,1,2,2020,0,11.8,9.61,6.25
UNIVERSIDAD DEL VALLE,2020-01-01 16:00:00,16,1,2,2020,0,11.8,9.61,6.25
BASE AÉREA,2020-01-01 17:00:00,17,1,2,2020,0,17.88,9.87,6.41
CAÑAVERALEJO,2020-01-01 17:00:00,17,1,2,2020,0,17.88,9.87,6.41
LA ERMITA,2020-01-01 17:00:00,17,1,2,2020,0,17.88,9.87,6.41
LA FLORA,2020-01-01 17:00:00,17,1,2,2020,0,17.88,9.87,6.41
P_2. ERA OBRERO,2020-01-01 17:00:00,17,1,2,2020,0,17.88,9.87,6.41
TRANSITORIA-NAVARRO,2020-01-01 17:00:00,17,1,2,2020,0,17.88,9.87,6.41
UNIVERSIDAD DEL VALLE,2020-01-01 17:00:00,17,1,2,2020,0,17.88,9.87,6.41
BASE AÉREA,2020-01-01 18:00:00,18,1,2,2020,0,20.62,14.04,9.12
CAÑAVERALEJO,2020-01-01 18:00:00,18,1,2,2020,0,20.62,14.04,9.12
LA ERMITA,2020-01-01 18:00:00,18,1,2,2020,0,20.62,14.04,9.12
LA FLORA,2020-01-01 18:00:00,18,1,2,2020,0,20.62,14.04,9.12
P_2. ERA OBRERO,2020-01-01 18:00:00,18,1,2,2020,0,20.62,14.04,9.12
TRANSITORIA-NAVARRO,2020-01-01 18:00:00,18,1,2,2020,0,20.62,14.04,9.12
UNIVERSIDAD DEL VALLE,2020-01-01 18:00:00,18,1,2,2020,0,20.62,14.04,9.12
BASE AÉREA,2020-01-01 19:00:00,19,1,2,2020,0,25.07,16.88,10.97
CAÑAVERALEJO,2020-01-01 19:00:00,19,1,2,2020,0,25.07,16.88,10.97
LA ERMITA,2020-01-01 19:00:00,19,1,2,2020,0,25.07,16.88,10.97
LA FLORA,2020-01-01 19:00:00,19,1,2,2020,0,25.07,16.88,10.97
P_2. ERA OBRERO,2020-01-01 19:00:00,19,1,2,2020,0,25.07,16.88,10.97
TRANSITORIA-NAVARRO,2020-01-01 19:00:00,19,1,2,2020,0,25.07,16.88,10.97
UNIVERSIDAD DEL VALLE,2020-01-01 19:00:00,19,1,2,2020,0,25.07,16.88,10.97
BASE AÉREA,2020-01-01 20:00:00,20,1,2,2020,0,28.48,17.19,11.18
CAÑAVERALEJO,2020-01-01 20:00:00,20,1,2,2020,0,28.48,17.19,11.18
LA ERMITA,2020-01-01 20:00:00,20,1,2,2020,0,28.48,17.19,11.18
LA FLORA,2020-01-01 20:00:00,20,1,2,2020,0,28.48,17.19,11.18
P_2. ERA OBRERO,2020-01-01 20:00:00,20,1,2,2020,0,28.48,17.19,11.18
TRANSITORIA-NAVARRO,2020-01-01 20:00:00,20,1,2,2020,0,28.48,17.19,11.18
UNIVERSIDAD DEL VALLE,2020-01-01 20:00:00,20,1,2,2020,0,28.48,17.19,11.18
BASE AÉREA,2020-01-01 21:00:00,21,1,2,2020,0,25.22,9.96,6.48
CAÑAVERALEJO,2020-01-01 21:00:00,21,1,2,2020,0,25.22,9.96,6.48
LA ERMITA,2020-01-01 21:00:00,21,1,2,2020,0,25.22,9.96,6.48
LA FLORA,2020-01-01 21:00:00,21,1,2,2020,0,25.22,9.96,6.48
P_2. ERA OBRERO,2020-01-01 21:00:00,21,1,2,2020,0,25.22,9.96,6.48
TRANSITORIA-NAVARRO,2020-01-01 21:00:00,21,1,2,2020,0,25.22,9.96,6.48
UNIVERSIDAD DEL VALLE,2020-01-01 21:00:00,21,1,2,2020,0,25.22,9.96,6.48
BASE AÉREA,2020-01-01 22:00:00,22,1,2,2020,0,20.03,10.12,6.57
CAÑAVERALEJO,2020-01-01 22:00:00,22,1,2,2020,0,20.03,10.12,6.57
LA ERMITA,2020-01-01 22:00:00,22,1,2,2020,0,20.03,10.12,6.57
LA FLORA,2020-01-01 22:00:00,22,1,2,2020,0,20.03,10.12,6.57
P_2. ERA OBRERO,2020-01-01 22:00:00,22,1,2,2020,0,20.03,10.12,6.57
TRANSITORIA-NAVARRO,2020-01-01 22:00:00,22,1,2,2020,0,20.03,10.12,6.57
UNIVERSIDAD DEL VALLE,2020-01-01 22:00:00,22,1,2,2020,0,20.03,10.12,6.57
BASE AÉREA,2020-01-01 23:00:00,23,1,2,2020,0,15.25,10.38,6.75
CAÑAVERALEJO,2020-01-01 23:00:00,23,1,2,2020,0,15.25,10.38,6.75
LA ERMITA,2020-01-01 23:00:00,23,1,2,2020,0,15.25,10.38,6.75
LA FLORA,2020-01-01 23:00:00,23,1,2,2020,0,15.25,10.38,6.75
P_2. ERA OBRERO,2020-01-01 23:00:00,23,1,2,2020,0,15.25,10.38,6.75
TRANSITORIA-NAVARRO,2020-01-01 23:00:00,23,1,2,2020,0,15.25,10.38,6.75
UNIVERSIDAD DEL VALLE,2020-01-01 23:00:00,23,1,2,2020,0,15.25,10.38,6.75
BASE AÉREA,2020-01-02 00:00:00,0,1,3,2020,0,11.46,9.0,5.85
CAÑAVERALEJO,2020-01-02 00:00:00,0,1,3,2020,0,11.46,9.0,5.85
LA ERMITA,2020-01-02 00:00:00,0,1,3,2020,0,11.46,9.0,5.85
LA FLORA,2020-01-02 00:00:00,0,1,3,2020,0,11.46,9.0,5.85
P_2. ERA OBRERO,2020-01-02 00:00:00,0,1,3,2020,0,11.46,9.0,5.85
TRANSITORIA-NAVARRO,2020-01-02 00:00:00,0,1,3,2020,0,11.46,9.0,5.85
UNIVERSIDAD DEL VALLE,2020-01-02 00:00:00,0,1,3,2020,0,11.46,9.0,5.85
BASE AÉREA,2020-01-02 01:00:00,1,1,3,2020,0,9.88,6.22,4.05
CAÑAVERALEJO,2020-01-02 01:00:00,1,1,3,2020,0,9.88,6.22,4.05
LA ERMITA,2020-01-02 01:00:00,1,1,3,2020,0,9.88,6.22,4.05
LA FLORA,2020-01-02 01:00:00,1,1,3,2020,0,9.88,6.22,4.05
P_2. ERA OBRERO,2020-01-02 01:00:00,1,1,3,2020,0,9.88,6.22,4.05
TRANSITORIA-NAVARRO,2020-01-02 01:00:00,1,1,3,2020,0,9.88,6.22,4.05
UNIVERSIDAD DEL VALLE,2020-01-02 01:00:00,1,1,3,2020,0,9.88,6.22,4.05
BASE AÉREA,2020-01-02 02:00:00,2,1,3,2020,0,6.43,5.8,3.77
CAÑAVERALEJO,2020-01-02 02:00:00,2,1,3,2020,0,6.43,5.8,3.77
LA ERMITA,2020-01-02 02:00:00,2,1,3,2020,0,6.43,5.8,3.77
LA FLORA,2020-01-02 02:00:00,2,1,3,2020,0,6.43,5.8,3.77
P_2. ERA OBRERO,2020-01-02 02:00:00,2,1,3,2020,0,6.43,5.8,3.77
TRANSITORIA-NAVARRO,2020-01-02 02:00:00,2,1,3,2020,0,6.43,5.8,3.77
UNIVERSIDAD DEL VALLE,2020-01-02 02:00:00,2,1,3,2020,0,6.43,5.8,3.77
BASE AÉREA,2020-01-02 03:00:00,3,1,3,2020,0,5.32,7.28,4.73
CAÑAVERALEJO,2020-01-02 03:00:00,3,1,3,2020,0,5.32,7.28,4.73
LA ERMITA,2020-01-02 03:00:00,3,1,3,2020,0,5.32,7.28,4.73
LA FLORA,2020-01-02 03:00:00,3,1,3,2020,0,5.32,7.28,4.73
P_2. ERA OBRERO,2020-01-02 03:00:00,3,1,3,2020,0,5.32,7.28,4.73
TRANSITORIA-NAVARRO,2020-01-02 03:00:00,3,1,3,2020,0,5.32,7.28,4.73
UNIVERSIDAD DEL VALLE,2020-01-02 03:00:00,3,1,3,2020,0,5.32,7.28,4.73
BASE AÉREA,2020-01-02 04:00:00,4,1,3,2020,0,5.04,8.54,5.55
CAÑAVERALEJO,2020-01-02 04:00:00,4,1,3,2020,0,5.04,8.54,5.55
LA ERMITA,2020-01-02 04:00:00,4,1,3,2020,0,5.04,8.54,5.55
LA FLORA,2020-01-02 04:00:00,4,1,3,2020,0,5.04,8.54,5.55
P_2. ERA OBRERO,2020-01-02 04:00:00,4,1,3,2020,0,5.04,8.54,5.55
TRANSITORIA-NAVARRO,2020-01-02 04:00:00,4,1,3,2020,0,5.04,8.54,5.55
UNIVERSIDAD DEL VALLE,2020-01-02 04:00:00,4,1,3,2020,0,5.04,8.54,5.55
BASE AÉREA,2020-01-02 05:00:00,5,1,3,2020,0,5.65,9.64,6.26
CAÑAVERALEJO,2020-01-02 05:00:00,5,1,3,2020,0,5.65,9.64,6.26
LA ERMITA,2020-01-02 05:00:00,5,1,3,2020,0,5.65,9.64,6.26
LA FLORA,2020-01-02 05:00:00,5,1,3,2020,0,5.65,9.64,6.26
P_2. ERA OBRERO,2020-01-02 05:00:00,5,1,3,2020,0,5.65,9.64,6.26
TRANSITORIA-NAVARRO,2020-01-02 05:00:00,5,1,3,2020,0,5.65,9.64,6.26
UNIVERSIDAD DEL VALLE,2020-01-02 05:00:00,5,1,3,2020,0,5.65,9.64,6.26
BASE AÉREA,2020-01-02 06:00:00,6,1,3,2020,0,8.06,16.45,10.7
CAÑAVERALEJO,2020-01-02 06:00:00,6,1,3,2020,0,8.06,16.45,10.7
LA ERMITA,2020-01-02 06:00:00,6,1,3,2020,0,8.06,16.45,10.7
LA FLORA,2020-01-02 06:00:00,6,1,3,2020,0,8.06,16.45,10.7
P_2. ERA OBRERO,2020-01-02 06:00:00,6,1,3,2020,0,8.06,16.45,10.7
TRANSITORIA-NAVARRO,2020-01-02 06:00:00,6,1,3,2020,0,8.06,16.45,10.7
UNIVERSIDAD DEL VALLE,2020-01-02 06:00:00,6,1,3,2020,0,8.06,16.45,10.7
BASE AÉREA,2020-01-02 07:00:00,7,1,3,2020,0,13.08,13.56,8.82
CAÑAVERALEJO,2020-01-02 07:00:00,7,1,3,2020,0,13.08,13.56,8.82
LA ERMITA,2020-01-02 07:00:00,7,1,3,2020,0,13.08,13.56,8.82
LA FLORA,2020-01-02 07:00:00,7,1,3,2020,0,13.08,13.56,8.82
P_2. ERA OBRERO,2020-01-02 07:00:00,7,1,3,2020,0,13.08,13.56,8.82
TRANSITORIA-NAVARRO,2020-01-02 07:00:00,7,1,3,2020,0,13.08,13.56,8.82
UNIVERSIDAD DEL VALLE,2020-01-02 07:00:00,7,1,3,2020,0,13.08,13.56,8.82
BASE AÉREA,2020-01-02 08:00:00,8,1,3,2020,0,19.32,11.79,7.66
CAÑAVERALEJO,2020-01-02 08:00:00,8,1,3,2020,0,19.32,11.79,7.66
LA ERMITA,2020-01-02 08:00:00,8,1,3,2020,0,19.32,11.79,7.66
LA FLORA,2020-01-02 08:00:00,8,1,3,2020,0,19.32,11.79,7.66
P_2. ERA OBRERO,2020-01-02 08:00:00,8,1,3,2020,0,19.32,11.79,7.66
TRANSITORIA-NAVARRO,2020-01-02 08:00:00,8,1,3,2020,0,19.32,11.79,7.66
UNIVERSIDAD DEL VALLE,2020-01-02 08:00:00,8,1,3,2020,0,19.32,11.79,7.66
BASE AÉREA,2020-01-02 09:00:00,9,1,3,2020,0,17.24,11.06,7.19
CAÑAVERALEJO,2020-01-02 09:00:00,9,1,3,2020,0,17.24,11.06,7.19
LA ERMITA,2020-01-02 09:00:00,9,1,3,2020,0,17.24,11.06,7.19
LA FLORA,2020-01-02 09:00:00,9,1,3,2020,0,17.24,11.06,7.19
P_2. ERA OBRERO,2020-01-02 09:00:00,9,1,3,2020,0,17.24,11.06,7.19
TRANSITORIA-NAVARRO,2020-01-02 09:00:00,9,1,3,2020,0,17.24,11.06,7.19
UNIVERSIDAD DEL VALLE,2020-01-02 09:00:00,9,1,3,2020,0,17.24,11.06,7.19
BASE AÉREA,2020-01-02 10:00:00,10,1,3,2020,0,14.12,9.63,6.26
CAÑAVERALEJO,2020-01-02 10:00:00,10,1,3,2020,0,14.12,9.63,6.26
LA ERMITA,2020-01-02 10:00:00,10,1,3,2020,0,14.12,9.63,6.26
LA FLORA,2020-01-02 10:00:00,10,1,3,2020,0,14.12,9.63,6.26
P_2. ERA OBRERO,2020-01-02 10:00:00,10,1,3,2020,0,14.12,9.63,6.26
TRANSITORIA-NAVARRO,2020-01-02 10:00:00,10,1,3,2020,0,14.12,9.63,6.26
UNIVERSIDAD DEL VALLE,2020-01-02 10:00:00,10,1,3,2020,0,14.12,9.63,6.26
BASE AÉREA,2020-01-02 11:00:00,11,1,3,2020,0,12.11,12.94,8.41
CAÑAVERALEJO,2020-01-02 11:00:00,11,1,3,2020,0,12.11,12.94,8.41
LA ERMITA,2020-01-02 11:00:00,11,1,3,2020,0,12.11,12.94,8.41
LA FLORA,2020-01-02 11:00:00,11,1,3,2020,0,12.11,12.94,8.41
P_2. ERA OBRERO,2020-01-02 11:00:00,11,1,3,2020,0,12.11,12.94,8.41
TRANSITORIA-NAVARRO,2020-01-02 11:00:00,11,1,3,2020,0,12.11,12.94,8.41
UNIVERSIDAD DEL VALLE,2020-01-02 11:00:00,11,1,3,2020,0,12.11,12.94,8.41
BASE AÉREA,2020-01-02 12:00:00,12,1,3,2020,0,7.0,10.7,6.95
CAÑAVERALEJO,2020-01-02 12:00:00,12,1,3,2020,0,7.0,10.7,6.95
LA ERMITA,2020-01-02 12:00:00,12,1,3,2020,0,7.0,10.7,6.95
LA FLORA,2020-01-02 12:00:00,12,1,3,2020,0,7.0,10.7,6.95
P_2. ERA OBRERO,2020-01-02 12:00:00,12,1,3,2020,0,7.0,10.7,6.95
TRANSITORIA-NAVARRO,2020-01-02 12:00:00,12,1,3,2020,0,7.0,10.7,6.95
UNIVERSIDAD DEL VALLE,2020-01-02 12:00:00,12,1,3,2020,0,7.0,10.7,6.95
BASE AÉREA,2020-01-02 13:00:00,13,1,3,2020,0,5.84,13.86,9.01
CAÑAVERALEJO,2020-01-02 13:00:00,13,1,3,2020,0,5.84,13.86,9.01
LA ERMITA,2020-01-02 13:00:00,13,1,3,2020,0,5.84,13.86,9.01
LA FLORA,2020-01-02 13:00:00,13,1,3,2020,0,5.84,13.86,9.01
P_2. ERA OBRERO,2020-01-02 13:00:00,13,1,3,2020,0,5.84,13.86,9.01
TRANSITORIA-NAVARRO,2020-01-02 13:00:00,13,1,3,2020,0,5.84,13.86,9.01
UNIVERSIDAD DEL VALLE,2020-01-02 13:00:00,13,1,3,2020,0,5.84,13.86,9.01
BASE AÉREA,2020-01-02 14:00:00,14,1,3,2020,0,7.02,11.62,7.55
CAÑAVERALEJO,2020-01-02 14:00:00,14,1,3,2020,0,7.02,11.62,7.55
LA ERMITA,2020-01-02 14:00:00,14,1,3,2020,0,7.02,11.62,7.55
LA FLORA,2020-01-02 14:00:00,14,1,3,2020,0,7.02,11.62,7.55
P_2. ERA OBRERO,2020-01-02 14:00:00,14,1,3,2020,0,7.02,11.62,7.55
TRANSITORIA-NAVARRO,2020-01-02 14:00:00,14,1,3,2020,0,7.02,11.62,7.55
UNIVERSIDAD DEL VALLE,2020-01-02 14:00:00,14,1,3,2020,0,7.02,11.62,7.55
BASE AÉREA,2020-01-02 15:00:00,15,1,3,2020,0,7.17,8.97,5.83
CAÑAVERALEJO,2020-01-02 15:00:00,15,1,3,2020,0,7.17,8.97,5.83
LA ERMITA,2020-01-02 15:00:00,15,1,3,2020,0,7.17,8.97,5.83
LA FLORA,2020-01-02 15:00:00,15,1,3,2020,0,7.17,8.97,5.83
P_2. ERA OBRERO,2020-01-02 15:00:00,15,1,3,2020,0,7.17,8.97,5.83
TRANSITORIA-NAVARRO,2020-01-02 15:00:00,15,1,3,2020,0,7.17,8.97,5.83
UNIVERSIDAD DEL VALLE,2020-01-02 15:00:00,15,1,3,2020,0,7.17,8.97,5.83
BASE AÉREA,2020-01-02 16:00:00,16,1,3,2020,0,11.32,6.42,4.18
CAÑAVERALEJO,2020-01-02 16:00:00,16,1,3,2020,0,11.32,6.42,4.18
LA ERMITA,2020-01-02 16:00:00,16,1,3,2020,0,11.32,6.42,4.18
LA FLORA,2020-01-02 16:00:00,16,1,3,2020,0,11.32,6.42,4.18
P_2. ERA OBRERO,2020-01-02 16:00:00,16,1,3,2020,0,11.32,6.42,4.18
TRANSITORIA-NAVARRO,2020-01-02 16:00:00,16,1,3,2020,0,11.32,6.42,4.18
UNIVERSIDAD DEL VALLE,2020-01-02 16:00:00,16,1,3,2020,0,11.32,6.42,4.18
BASE AÉREA,2020-01-02 17:00:00,17,1,3,2020,0,16.04,6.79,4.41
CAÑAVERALEJO,2020-01-02 17:00:00,17,1,3,2020,0,16.04,6.79,4.41
LA ERMITA,2020-01-02 17:00:00,17,1,3,2020,0,16.04,6.79,4.41
LA FLORA,2020-01-02 17:00:00,17,1,3,2020,0,16.04,6.79,4.41
