"Estacion","Fecha inicial","Fecha final","SO2"
"BASE AÉREA","2019-12-18 12:00","2019-12-18 12:59","7.148"
"BASE AÉREA","2019-12-18 11:00","2019-12-18 11:59","8.7713"
"BASE AÉREA","2019-12-18 10:00","2019-12-18 10:59","10.578"
"BASE AÉREA","2019-12-18 09:00","2019-12-18 09:59","11.0754"
"BASE AÉREA","2019-12-18 08:00","2019-12-18 08:59","12.5417"
"BASE AÉREA","2019-12-18 07:00","2019-12-18 07:59","12.9606"
"BASE AÉREA","2019-12-18 06:00","2019-12-18 06:59","13.301"
"BASE AÉREA","2019-12-18 05:00","2019-12-18 05:59","13.9032"
"BASE AÉREA","2019-12-18 04:00","2019-12-18 04:59","14.5316"
"BASE AÉREA","2019-12-18 03:00","2019-12-18 03:59","14.8458"
"BASE AÉREA","2019-12-18 02:00","2019-12-18 02:59","15.1862"
"BASE AÉREA","2019-12-18 01:00","2019-12-18 01:59","15.3695"
"BASE AÉREA","2019-12-18 00:00","2019-12-18 00:59","15.7622"
"BASE AÉREA","2019-12-17 23:00","2019-12-17 23:59","16.3121"
"BASE AÉREA","2019-12-17 22:00","2019-12-17 22:59","16.7833"
"BASE AÉREA","2019-12-17 21:00","2019-12-17 21:59","16.6786"
"BASE AÉREA","2019-12-17 20:00","2019-12-17 20:59","16.9928"
"BASE AÉREA","2019-12-17 19:00","2019-12-17 19:59","16.1811"
"BASE AÉREA","2019-12-17 18:00","2019-12-17 18:59","15.3695"
"BASE AÉREA","2019-12-17 17:00","2019-12-17 17:59","14.5578"
"BASE AÉREA","2019-12-17 16:00","2019-12-17 16:59","14.3745"
"BASE AÉREA","2019-12-17 15:00","2019-12-17 15:59","13.8247"
"BASE AÉREA","2019-12-17 14:00","2019-12-17 14:59","13.6152"
"BASE AÉREA","2019-12-17 13:00","2019-12-17 13:59","13.1177"
"BASE AÉREA","2019-12-17 12:00","2019-12-17 12:59","11.2064"
"BASE AÉREA","2019-12-17 11:00","2019-12-17 11:59","9.1379"
"BASE AÉREA","2019-12-17 10:00","2019-12-17 10:59","9.9496"
"BASE AÉREA","2019-12-17 09:00","2019-12-17 09:59","15.2647"
"BASE AÉREA","2019-12-17 08:00","2019-12-17 08:59","14.4531"
"BASE AÉREA","2019-12-17 07:00","2019-12-17 07:59","13.1439"
"BASE AÉREA","2019-12-17 06:00","2019-12-17 06:59","13.1177"
"BASE AÉREA","2019-12-17 05:00","2019-12-17 05:59","13.6414"
"BASE AÉREA","2019-12-17 04:00","2019-12-17 04:59","14.2698"
"BASE AÉREA","2019-12-17 03:00","2019-12-17 03:59","14.7149"
"BASE AÉREA","2019-12-17 02:00","2019-12-17 02:59","14.8982"
"BASE AÉREA","2019-12-17 01:00","2019-12-17 01:59","15.0814"
"BASE AÉREA","2019-12-17 00:00","2019-12-17 00:59","14.8458"
"BASE AÉREA","2019-12-16 23:00","2019-12-16 23:59","14.7149"
"BASE AÉREA","2019-12-16 22:00","2019-12-16 22:59","14.165"
"BASE AÉREA","2019-12-16 21:00","2019-12-16 21:59","13.4581"
"BASE AÉREA","2019-12-16 20:00","2019-12-16 20:59","13.2224"
"BASE AÉREA","2019-12-16 19:00","2019-12-16 19:59","11.8086"
"BASE AÉREA","2019-12-16 18:00","2019-12-16 18:59","12.6988"
"BASE AÉREA","2019-12-16 17:00","2019-12-16 17:59","13.4581"
"BASE AÉREA","2019-12-16 16:00","2019-12-16 16:59","12.1751"
"BASE AÉREA","2019-12-16 15:00","2019-12-16 15:59","12.1751"
"BASE AÉREA","2019-12-16 14:00","2019-12-16 14:59","12.4893"
"BASE AÉREA","2019-12-16 13:00","2019-12-16 13:59","12.6988"
"BASE AÉREA","2019-12-16 12:00","2019-12-16 12:59","12.2013"
"BASE AÉREA","2019-12-16 11:00","2019-12-16 11:59","12.5679"
"BASE AÉREA","2019-12-16 10:00","2019-12-16 10:59","12.2799"
"BASE AÉREA","2019-12-16 09:00","2019-12-16 09:59","12.1489"
"BASE AÉREA","2019-12-16 08:00","2019-12-16 08:59","11.8609"
"BASE AÉREA","2019-12-16 07:00","2019-12-16 07:59","11.7824"
"BASE AÉREA","2019-12-16 06:00","2019-12-16 06:59","11.6515"
"BASE AÉREA","2019-12-16 05:00","2019-12-16 05:59","12.1228"
"BASE AÉREA","2019-12-16 04:00","2019-12-16 04:59","12.5155"
"BASE AÉREA","2019-12-16 03:00","2019-12-16 03:59","12.9606"
"BASE AÉREA","2019-12-16 02:00","2019-12-16 02:59","12.7512"
"BASE AÉREA","2019-12-16 01:00","2019-12-16 01:59","12.306"
"BASE AÉREA","2019-12-16 00:00","2019-12-16 00:59","12.2537"
"BASE AÉREA","2019-12-15 23:00","2019-12-15 23:59","12.1228"
"BASE AÉREA","2019-12-15 22:00","2019-12-15 22:59","11.73"
"BASE AÉREA","2019-12-15 21:00","2019-12-15 21:59","11.5467"
"BASE AÉREA","2019-12-15 20:00","2019-12-15 20:59","10.9969"
"BASE AÉREA","2019-12-15 19:00","2019-12-15 19:59","11.2064"
"BASE AÉREA","2019-12-15 18:00","2019-12-15 18:59","11.5991"
"BASE AÉREA","2019-12-15 17:00","2019-12-15 17:59","12.1751"
"BASE AÉREA","2019-12-15 16:00","2019-12-15 16:59","12.6202"
"BASE AÉREA","2019-12-15 15:00","2019-12-15 15:59","12.6988"
"BASE AÉREA","2019-12-15 14:00","2019-12-15 14:59","12.7773"
"BASE AÉREA","2019-12-15 13:00","2019-12-15 13:59","12.8821"
"BASE AÉREA","2019-12-15 12:00","2019-12-15 12:59","12.9344"
"BASE AÉREA","2019-12-15 11:00","2019-12-15 11:59","12.7512"
"BASE AÉREA","2019-12-15 10:00","2019-12-15 10:59","12.4108"
"BASE AÉREA","2019-12-15 09:00","2019-12-15 09:59","13.013"
"BASE AÉREA","2019-12-15 08:00","2019-12-15 08:59","13.1963"
"BASE AÉREA","2019-12-15 07:00","2019-12-15 07:59","13.4843"
